id,name,created_at
1,İstanbul,2024-01-01 00:00:00+00
2,Ankara,2024-01-01 00:00:00+00
3,İzmir,2024-01-01 00:00:00+00
4,Bursa,2024-01-01 00:00:00+00
5,Antalya,2024-01-01 00:00:00+00
6,Adana,2024-01-01 00:00:00+00
7,Konya,2024-01-01 00:00:00+00
8,Gaziantep,2024-01-01 00:00:00+00
9,Mersin,2024-01-01 00:00:00+00
10,Diyarbakır,2024-01-01 00:00:00+00
11,Kayseri,2024-01-01 00:00:00+00
12,Eskişehir,2024-01-01 00:00:00+00
13,Urfa,2024-01-01 00:00:00+00
14,Malatya,2024-01-01 00:00:00+00
15,Erzurum,2024-01-01 00:00:00+00
16,Van,2024-01-01 00:00:00+00
17,Batman,2024-01-01 00:00:00+00
18,Elazığ,2024-01-01 00:00:00+00
19,İzmit,2024-01-01 00:00:00+00
20,Sivas,2024-01-01 00:00:00+00
21,Kahramanmaraş,2024-01-01 00:00:00+00
22,Trabzon,2024-01-01 00:00:00+00
23,Denizli,2024-01-01 00:00:00+00
24,Ordu,2024-01-01 00:00:00+00
25,Balıkesir,2024-01-01 00:00:00+00
